,Date,Text,Compound,Positive,Negative,Neutral
61,2021-06-18,"In 2020, while the economy was ravaged by the pandemic, several big tech companies did extraordinarily well. Names like Apple, Facebook and Alphabet proved to be extraordinarily resilient. While othe… [+53337 chars]",0.5574,0.133,0.0,0.867
62,2021-06-21,"View as PDF
Click to Enlarge
12
Original Post
 Editor's Note: The summary bullets for this article were chosen by Seeking Alpha editors.",0.3182,0.095,0.0,0.905
63,2021-06-17,"Representative David Cicilline, Democrat of Rhode Island, is joining forces with Republicans like Ken Buck and Burgess Owens to push through a suite of new antitrust legislation aimed at Amazon, Appl… [+1150 chars]",0.4939,0.123,0.0,0.877
64,2021-06-28,"from the sit-down-marco dept
It seems like we can't have even a peaceful week go by without yet another grandstanding fool in Congress introducing yet another terrible bill to destroy the internet. … [+6420 chars]",-0.8634,0.059,0.285,0.657
65,2021-06-21,"The European Union has been trying to regulate Big Tech from the other side of the Atlantic, but now its countries are teaming up with the U.S. to figure out an even bigger framework of regulation.
… [+1552 chars]",0.0,0.0,0.0,1.0
66,2021-06-22,"Lawmakers seem to have a simple philosophy these days: Big Tech is too big. A wreath of antitrust lawsuits claim these companies are gobbling up smaller competitors, locking in sellers under unfair t… [+8209 chars]",-0.5719,0.0,0.132,0.868
67,2021-06-17,,0.0,0.0,0.0,0.0
68,2021-06-25,"from the not-the-last-sleepless-night-this-nonsense-will-cause dept
House Judiciary Chairman Congressman Nadler really does not like ""big tech"" companies, and four of them (Apple, Google, Facebook, … [+5599 chars]",-0.3343,0.0,0.09,0.91
69,2021-06-18,"Getting down to the specifics of these bills, they range from bad to ugly, said Patrick Hedger, vice president of policy for the Taxpayers Protection Alliance, which is funded in part by groups conne… [+8704 chars]",-0.7783,0.0,0.167,0.833
70,2021-06-08,"The attorney general of Ohio is asking a state court to declare Google a public utility, something that would subject the search giant to extensive government regulation.
The lawsuit (read it here) … [+2001 chars]",-0.2263,0.0,0.058,0.942
71,2021-06-07,"Conservatives in Washington are growing much more leery of groups with financial ties to Big Tech. 
Driving the news: The American Principles Project, a conservative advocacy group, will send a lett… [+4894 chars]",0.1779,0.054,0.0,0.946
72,2021-06-22,"If youre starting from tens of billions of market cap and youre selling 10% of your business, youre talking about an $8 billion, $10 billion or $12 billion business, he says. That doesnt look much li… [+2927 chars]",0.0,0.0,0.0,1.0
73,2021-06-17,U.S. President Joe Biden's unexpected decision to name a staunch antitrust advocate to lead the Federal Trade Commission has thrilled supporters of stronger regulation of the tech industry and has pr… [+6011 chars],0.8126,0.225,0.0,0.775
74,2021-06-30,"Nearly two-thirds of consumers in the United States feel big tech companies wield too much power and more than half feel the US government should act to curb their influence. Further, such sentiments… [+2389 chars]",0.4215,0.076,0.0,0.924
75,2021-06-29,"Facebook
Yesterday a U.S. federal judge 
dismissed two antitrust lawsuits against Facebook Inc., brought by the U.S. Federal Trade Commission and a group of state attorneys general, claiming that i… [+28634 chars]",-0.1531,0.0,0.052,0.948
76,2021-06-29,"Facebook CEO Mark Zuckerberg testifies before the House Judiciary Subcommittee on Antitrust, Commercial and Administrative Law on “Online Platforms and Market Power” on Capitol Hill, July 29, 2020. (… [+8705 chars]",0.0,0.0,0.0,1.0
77,2021-06-24,"In a time of ever-increasing partisanship in Washington, a number of congressional Democrats and Republicans have shown a certain level of unity lately over the issue of domestic technology regulatio… [+3038 chars]",0.34,0.112,0.0,0.888
78,2021-06-07,"June 7, 2021Attempts to regulate the technology companies at the state level could end up harming consumers in the long run, according to panelists at an online seminar hosted by NetChoice on Thursda… [+2446 chars]",-0.5574,0.0,0.096,0.904
79,2021-06-16,"Hey, its Josh. As a general rule, new appointments to the Federal Trade Commission dont attract much attention. But the Senate confirmation Tuesday of Lina Khanand the subsequent announcement that sh… [+5066 chars]",-0.1419,0.0,0.048,0.952
80,2021-06-09,"Businesses forced to comply with a patchwork of state and global privacy rules have turned what was once a cottage industry focused on data and privacy into a multi-billion-dollar sector. 
Why it ma… [+2698 chars]",-0.1027,0.073,0.084,0.843
81,2021-06-29,"So much for big tech stocks falling out of favor.
Facebook has soared almost 30 per cent this year and Mark Zuckerberg's social media giant is now worth more than US$1 trillion. It's not the only gi… [+3300 chars]",0.4588,0.109,0.038,0.853
82,2021-06-14,"A raft of recently proposed bills could bring about the biggest changes to antitrust law in 100 years, if theyre passed. The bills, five in total, target Americas tech giants Amazon (AMZN), Apple (AA… [+4219 chars]",0.1779,0.048,0.0,0.952
83,2021-06-18,"If anyone still had questions about President Bidens view on tech regulation, they have now been answered. The president made his position crystal clear this past week by naming Columbia Law School P… [+5385 chars]",0.3818,0.071,0.0,0.929
84,2021-06-30,"According to a report from Axios, Microsoft president Brad Smith explained the company's plan to expand its legal and corporate affairs unit by as much as 20 percent ahead of potential regulation bat… [+2008 chars]",0.4215,0.106,0.0,0.894
85,2021-07-01,"Wall Street is finally getting a peek under the hood of Robinhood ahead of the most anticipated public debut since WeWork, and while the no-fee trading apps offering prospectus is not as much of a sh… [+7465 chars]",0.0,0.0,0.0,1.0
86,2021-06-11,"Founder &amp; CEO of Zeotap, a customer intelligence platform that helps brands better understand their customers and predict behaviors.
Getty
It's now been three years since the EUs General Data P… [+5960 chars]",0.8225,0.229,0.0,0.771
87,2021-06-29,"Facebook took home a small win on Monday, but the social networking giant is far from out of the woods yet, especially internationally, as growing regulatory pressure continues to circle Big Tech.",0.2606,0.136,0.079,0.786
88,2021-06-15,"Apple and Google are under scrutiny in the UK over whether their combined dominance of the mobile ecosystem could be harming both users and businesses.
Google's Android operation system is used by 5… [+2122 chars]",-0.4215,0.047,0.094,0.859
89,2021-06-23,"WASHINGTON (AP) — A House panel is pushing ahead with ambitious legislation that could curb the market power of tech giants Facebook, Google, Amazon and Apple and force them to sever their dominant p… [+6321 chars]",0.5859,0.13,0.0,0.87
90,2021-06-28,"from the discredited-nonsense-cited dept
About a month ago, the governor of Florida signed a showboating bill into law -- one that made it illegal to deplatform people running for office. Well, most… [+9818 chars]",-0.3612,0.059,0.101,0.84
91,2021-06-13,"The UK government is attempting to lead the global conversation on technology regulation as it plays host to a crowd of partner nations at the G7 this week, experts say. 
Regulating the tech industr… [+3414 chars]",0.25,0.056,0.0,0.944
92,2021-06-29,"In China, the approach to Big Tech firms leans, increasingly, toward regulation.
And that might make investing in Chinas marquee names, especially on other shores, a bit fraught.
After all, Wall St… [+3333 chars]",0.0,0.0,0.0,1.0
93,2021-06-10,"With investors chasing the latest meme stock, cryptocurrency, or new IPO or SPAC, large-cap tech stocks like Tencent(OTC:TCEHY) may seem like yesterday's news. In fact, you may not have noticed, but … [+4955 chars]",0.3612,0.101,0.0,0.899
94,2021-06-18,"As you may have read, lawmakers in the US House of Representatives have proposed a set of bills designed to rein in the power of Big Tech: specifically Amazon, Apple, Facebook, and Google, though Mic… [+764 chars]",0.1779,0.046,0.0,0.954
95,2021-07-01,"We speak with author and professor Ibram X. Kendi about his podcast ""Be Anti-Racist with Ibram X. Kendi"" which builds on his best-selling book. And, Biden's new Federal Trade Commissioner Lina Khan m… [+369 chars]",0.0,0.0,0.0,1.0
96,2021-06-02,"St. Olaf College hosted a series of speakers this spring focused on the broad theme of ""America After Trump."" Bryan Caplan is a libertarian economist at George Mason University, and he was asked to s… [+1270 chars]",0.5423,0.12,0.0,0.88
97,2021-06-15,"From the Wall Street Journal:
House lawmakers proposed a raft of bipartisan legislation aimed at reining in the countrys biggest tech companies, including a bill that seeks to make Amazon.com Inc. a… [+18207 chars]",0.0,0.0,0.0,1.0
98,2021-06-28,"The American political class is increasingly skeptical of Big Tech. Both right and left are displeased with Alphabet (the parent company of Google), Amazon and Facebook, to name a few. A House subcom… [+3737 chars]",-0.5423,0.046,0.141,0.813
99,2021-06-07,"June 7, 2021 Experts said that the best way to promote innovation and technology advancements, including advancements by large tech companies, is to spur on and allow greater competition between comp… [+1834 chars]",0.9153,0.33,0.0,0.67
