,Date,Text,Compound,Positive,Negative,Neutral
55,2021-06-15,"NEW YORK (Reuters) - From lumber prices to wages and inventories: Reading the clues around inflation has turned into an investor obsession.
FILE PHOTO: Federal Reserve Board building is pictured in … [+4901 chars]",-0.34,0.0,0.072,0.928
56,2021-06-17,"This story originally appeared on The Epoch TimesInflation increased by 5 percent from May 2020 to May 2021, as reported by the U.S. Bureau of Labor Statistics. The projected inflation for the coming… [+5019 chars]",0.2732,0.06,0.0,0.94
57,2021-06-15,"Federal Reserve Board building is pictured in Washington, U.S., March 19, 2019. REUTERS/Leah Millis/File PhotoNEW YORK, June 15 (Reuters) - From lumber prices to wages and inventories: Reading the cl… [+5114 chars]",0.0,0.0,0.0,1.0
58,2021-06-16,"This story originally appeared on StockMarketShould Investors Be Watching These Top 3 Consumer Stocks Now?
As most investors would know, inflation is a prominent factor to consider when investing in… [+7114 chars]",0.4767,0.128,0.0,0.872
59,2021-06-22,"Federal Reserve Chair Jerome Powell said the price increases seen in the economy recently are bigger than expected but reiterated that they will likely wane.
A pretty substantial part, or perhaps al… [+4229 chars]",0.7579,0.173,0.0,0.827
60,2021-06-22,"(Kitco News) Federal Reserve Chair Jerome Powell said that transitory inflation has been higher and more persistent than expected, but it will ""wane.""
""Substantial part or perhaps all of the oversho… [+3443 chars]",0.296,0.064,0.0,0.936
61,2021-06-16,"Inflation is on the march. After the easing of lockdown in May, Britain has raced from economic bust to boom, with the rate of consumer price inflation hitting 2.1% above expectations and breaching t… [+2873 chars]",0.25,0.054,0.0,0.946
62,2021-06-07,"An employee of the Korea Exchange Bank counts one hundred U.S. dollar notes during a photo opportunity at the bank's headquarters in Seoul April 28, 2010. REUTERS/Jo Yong-Hak/File PhotoThe dollar edg… [+2702 chars]",0.4215,0.083,0.0,0.917
63,2021-06-10,"A man walks past the Bombay Stock Exchange (BSE) building in Mumbai, India, March 6, 2020. REUTERS/Francis Mascarenhas/File photoIndian shares closed up on Thursday, boosted by heavyweight financials… [+1647 chars]",0.5719,0.148,0.0,0.852
64,2021-06-10,"(Updates prices, adds comments)
HANOI, June 10 (Reuters) - Copper fell on Thursday, hit by fresh concerns around price controls after surging producer inflation strengthened Chinas resolve to keep c… [+1825 chars]",0.7717,0.216,0.0,0.784
65,2021-06-07,"By Reuters Staff
June 7 (Reuters) - Canadas main stock index touched a record high on Monday as heavyweight energy and banking stocks gained, while investors await U.S inflation data due later this … [+136 chars]",0.6249,0.174,0.0,0.826
66,2021-06-01,"By Reuters Staff
FILE PHOTO: A logo of Turkey's Central Bank (TCMB) is pictured at the entrance of the bank's headquarters in Ankara, Turkey April 19, 2015. REUTERS/Umit Bektas//File Photo
LONDON (… [+1797 chars]",0.0,0.0,0.0,1.0
67,2021-06-11,"By Reuters Staff
WASHINGTON, June 11 (Reuters) - U.S. consumer sentiment rebounded in early June as inflation fears subsided and households grew more optimistic about future economic growth and empl… [+620 chars]",0.3384,0.144,0.078,0.778
68,2021-06-04,"Asian stocks followed Wall Street lower on Friday as signs of a strengthening U.S. recovery boosted bets for higher inflation and an earlier tapering of Federal Reserve stimulus.
U.S. Treasury yield… [+3068 chars]",0.6486,0.199,0.058,0.743
69,2021-06-17,"By Reuters Staff
June 17 (Reuters) - Foreign investors sold Japanese shares for a second straight week, hit by concerns over higher inflation levels and chances of an early tapering by the U.S. Fede… [+1081 chars]",0.5994,0.16,0.0,0.84
70,2021-06-28,"(Adds emergency measure, ministers comments)
RIO DE JANEIRO/BRASILIA, June 28 (Reuters) - Brazils government on Monday unveiled emergency hydroelectric measures in response to a drought that has emp… [+1498 chars]",-0.6369,0.0,0.167,0.833
71,2021-06-29,"RIO DE JANEIRO/BRASILIA, June 28 (Reuters) - Brazil's government on Monday unveiled emergency hydroelectric measures in response to a drought that has emptied reservoirs and fanned inflation expectat… [+1494 chars]",-0.5106,0.0,0.142,0.858
72,2021-06-25,"Shoppers carry bags of purchased merchandise at the King of Prussia Mall, United States' largest retail shopping space, in King of Prussia, Pennsylvania, U.S., December 8, 2018. REUTERS/Mark Makela
… [+584 chars]",0.4215,0.085,0.0,0.915
73,2021-06-25,"NEW YORK (Reuters) - The U.S. dollar fell on Friday after data showed that U.S. consumer spending was flat in May, while producer price inflation came in below economists expectations.
FILE PHOTO: A… [+3318 chars]",0.0,0.0,0.0,1.0
74,2021-06-23,"Qatar's central bank governor Sheikh Abdullah bin Saud al-Thani claps during the 58th Gulf Cooperation Council (GCC) Central Bank Governors' annual meeting in Manama September 18, 2013. REUTERS/Hamad… [+585 chars]",0.0,0.0,0.0,1.0
75,2021-06-24,"By Reuters Staff
BRASILIA, June 24 (Reuters) - Brazils National Monetary Council (CMN) on Thursday set the central banks 2024 inflation target at 3.00%, with a tolerance margin of 1.5 percentage poi… [+261 chars]",0.296,0.066,0.0,0.934
76,2021-06-30,"LONDON, June 30 (Reuters) - Oil prices have risen above the long-term average, once adjusted for inflation, and are likely to encounter increasing resistance from consumers if they continue to climb.… [+5856 chars]",0.0,0.0,0.0,1.0
77,2021-06-25,"NEW YORK, June 25 (Reuters) - The U.S. dollar fell on Friday after data showed that U.S. consumer spending was flat in May, while producer price inflation came in below economists expectations.
Cons… [+2296 chars]",0.0,0.0,0.0,1.0
78,2021-06-17,"With Canadas annual inflation rate seeing a record increase last month, some economists say certain sectors will eventually level off as the economy recovers from COVID-19, while others might continu… [+4846 chars]",0.5267,0.132,0.0,0.868
79,2021-06-07,"The New York Stock Exchange is pictured in the Manhattan borough of New York City, New York, U.S., April 16, 2021. REUTERS/Carlo Allegri/File PhotoWall Street's main indexes opened unchanged on Monda… [+529 chars]",0.0,0.0,0.0,1.0
80,2021-06-02,"The U.S. Federal Reserve's recent commitment to keep interest rates low despite creeping inflation has created new headaches for the Bank of Japan, which is trying to quietly wean the economy off its… [+4541 chars]",0.6705,0.187,0.052,0.762
81,2021-06-10,"Morning sunlight falls on the facade of the New York Stock Exchange (NYSE) building after the start of Thursday's trading session in Manhattan in New York City, New York, U.S., January 28, 2021. REUT… [+1978 chars]",0.0,0.0,0.0,1.0
82,2021-06-10,"U.S. stocks opened higher on Thursday, shrugging off a bigger-than-expected jump in May consumer prices that raised concerns of early policy tightening by the Federal Reserve, while another report sh… [+370 chars]",0.0,0.0,0.0,1.0
83,2021-06-11,"SINGAPORE (Reuters) - After a week of anxious waiting, markets got the high U.S. inflation number they dreaded, shrugged it off and moved on - leaving the U.S. dollar under pressure and most majors s… [+3519 chars]",-0.765,0.033,0.202,0.765
84,2021-06-11,"After a week of anxious waiting, markets got the high U.S. inflation number they dreaded, shrugged it off and moved on - leaving the U.S. dollar under pressure and most majors stuck in ranges.
Early… [+2854 chars]",-0.835,0.031,0.245,0.723
85,2021-06-09,"An employee counts U.S. dollar bills at a money exchange in central Cairo, Egypt, March 20, 2019. REUTERS/Mohamed Abd El Ghany/File PhotoThe dollar hovered at the lower end of recent gains on Wednesd… [+3983 chars]",0.0516,0.066,0.06,0.874
86,2021-06-01,"LONDON, June 2 (Reuters) - British retailers have reported the smallest price falls since the start of the COVID pandemic, partly due to shoppers buying more clothes and shoes as lockdowns eased, and… [+1731 chars]",0.296,0.064,0.0,0.936
87,2021-06-09,The dollar clung on to its recent small gains on Wednesday as traders looked to upcoming U.S. inflation data and a European Central Bank (ECB) meeting to gauge the pace of global recovery and policym… [+3977 chars],0.34,0.064,0.0,0.936
88,2021-06-11,"U.S. stocks opened slightly higher on Friday as inflation data calmed concerns over a possible long-term spike in consumer prices, while investors looked to next week's Federal Reserve meeting for mo… [+351 chars]",0.3818,0.077,0.0,0.923
89,2021-06-23,NEW YORK (Reuters) - The dollar retreated on Wednesday after Federal Reserve Chair Jerome Powell on Tuesday said that rising inflation is likely temporary and showed no signs of being in a hurry to t… [+2476 chars],-0.296,0.0,0.061,0.939
90,2021-06-23,"A security officer stands outside the Bank of England, as the spread of the coronavirus disease (COVID-19) continues, in London, Britain, March 23, 2020. REUTERS/Toby Melville/File PhotoLONDON, June … [+3345 chars]",0.34,0.079,0.0,0.921
91,2021-06-24,"SYDNEY, June 24 (Reuters) - Asian shares marked time on Thursday, with China nudging lower, while the U.S. dollar held below an 11-week high as investors reassessed U.S. Federal Reserve statements on… [+3278 chars]",0.0,0.062,0.062,0.876
92,2021-06-18,"A pedestrian shelters under a Union Flag umbrella in front of the Bank of England, in London, Britain August 16, 2018. REUTERS/ Hannah McKayLONDON, June 18 (Reuters) - British inflation can rise abov… [+3152 chars]",0.0,0.0,0.0,1.0
93,2021-06-15,"LONDON (Reuters) - U.S. employees are feeling confident enough to push for better pay and conditions, despite the high level of unemployment after the pandemic, a sign the balance of power is shiftin… [+6465 chars]",0.5106,0.19,0.108,0.702
94,2021-06-24,"By Reuters Staff
(Updates prices, changes dateline from HANOI)
LONDON, June 24 (Reuters) - Copper fell for the first time this week on Thursday as mixed signals from the U.S. Federal Reserve trigge… [+1776 chars]",0.0,0.0,0.0,1.0
95,2021-06-25,"By Reuters Staff
FILE PHOTO: Minneapolis Federal Reserve Bank President Neel Kashkari poses during an interview with Reuters in his office at the bank's headquarters in Minneapolis, Minnesota, U.S.,… [+741 chars]",0.0,0.0,0.0,1.0
96,2021-06-22,"TOKYO, June 22 (Reuters) - The Bank of Japan must make its inflation target more flexible so it can take into account not just price growth but also the output gap and job creation when deciding on m… [+2594 chars]",0.3928,0.101,0.038,0.86
97,2021-06-30,"Shoppers walk along a shopping street ahead of Christmas amid the spread of the coronavirus disease (COVID-19) in Rome, Italy, November 30, 2020. REUTERS/Guglielmo Mangiapane FRANKFURT, June 30 (Reut… [+2084 chars]",0.0,0.0,0.0,1.0
98,2021-07-01,"JAKARTA, July 1 (Reuters) - Indonesia's annual inflation rate eased to a 10-month low in June amid stricter coronavirus curbs following a surge in COVID-19 cases, data from the statistics bureau show… [+724 chars]",0.0258,0.068,0.065,0.867
99,2021-07-01,LONDON (Reuters) -Bank of England Governor Andrew Bailey said on Thursday it was important not to over-react to a rise in inflation that was likely to prove temporary during Britains economic recover… [+3091 chars],0.2023,0.053,0.0,0.947
