,tweets,likes,time
81,"@rwhgme Good afternoon, Scott. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to investigate this situation for you.",0,2021-06-22 18:43:57
82,@sabbatlilie Good afternoon – feel free to send us a DM with your VIN and approximate mileage. I’d be happy to look into this for you.,1,2021-06-22 16:57:50
83,"@LigorMatt Would you mind sending us this information as a direct message? I would recommend removing this public post with your VIN, as it contains personal information about your vehicle.",1,2021-06-22 15:44:30
84,@LigorMatt Could you please send us a DM with your VIN? I can assist you further from there. Thank you!,1,2021-06-22 14:53:12
85,@bigpoppa55 Good morning. I would like to look into this concern you are having with your Mach-E. Can you send us a direct message with your VIN to get started?,1,2021-06-22 13:28:10
86,"@earle_lynne Good morning, Lynne— Send Ford a DM with your VIN and current mileage. I'll see what I can do to assist. Thanks!",1,2021-06-22 13:22:42
87,"@Suncityheat Hello. Could you send us a DM with more information regarding the recall repair your 2020 Ford F-150 is in service for, as well as your VIN and current mileage? I can further assist you from there. Thank you!",0,2021-06-22 13:22:36
88,@LigorMatt Hello. Would you mind sending us a DM explaining more about your situation? I can assist you further from there.,0,2021-06-22 13:20:43
89,@Lee2888 Go ahead and send us this information in a DM so we can assist!,0,2021-06-22 12:59:28
90,"@Lee2888 Hi there – send a message to us with your VIN and approximate mileage, along with some more details about your situation. I’ll look into this for you. Thanks!",0,2021-06-21 20:49:59
91,Black music has been a major inspiration throughout all genres and this #BlackMusicMonth we’re celebrating with DJ @dnice the incredible impact that Black culture and music have on the world. https://t.co/fH7iQOsNxw,124,2021-06-21 20:02:30
92,"@aalayahcross Hello! If you'd like to send us a DM with your VIN and current mileage, I'd be happy to investigate this parts issue further for you.",0,2021-06-21 17:38:26
93,@saksjane7 Good morning! Please send us a DM with more information about what's going on with your new Escape. I would like to look into a few things on my end for you.,0,2021-06-21 16:42:14
94,"@boomer_later Cracking up all over again, D.W. 😂 Check your DM's for some special Ford swag. 💪",1,2021-06-21 16:31:52
95,"@1cardetailer Circling back to this hilarious dad joke. 😂Check your DM's for some special Ford swag, Mark. 💪",1,2021-06-21 16:29:21
96,"@Courtne85905922 No problem at all. If you visit the Ford Motor Company Twitter here: https://t.co/YBB4AWi3Fh, then tap the envelope icon under the header, this will open a direct message window. Thanks!",0,2021-06-21 16:28:42
97,"@whittemoreeric1 @FordTrucks Hi, Eric. We love this shot of your Ranger, check your dm's for some special Ford Swag.",0,2021-06-21 16:05:23
98,"@Courtne85905922 Would you be able to send those details over as a direct message please? I would recommend removing this public post with your VIN, as it contains personal information about your vehicle.",0,2021-06-21 15:26:58
99,@runnersitch Hi Larry. Could you please send us a DM with some more information regarding your SYNC 3 situation? I would like to look into a few things on my end for you.,0,2021-06-21 14:57:20
100,@Courtne85905922 Our direct messages on Twitter are private. Feel free to send over those details at your convenience. Thank you!,0,2021-06-21 14:40:12
101,"@Courtne85905922 Good morning, Courtney. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-21 14:16:58
102,"@BrendaAdkins4 Good morning, Brenda. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-21 14:16:20
103,"@umpires_rule Good morning, Jerry. Feel free to send us a DM with your VIN and current mileage. I’d be happy to look into this for you.",0,2021-06-21 12:53:43
104,"@sburketters Hello, Scott. Could you send us a DM with more information about your current vehicle concern regarding the transmission module part needed for your repair, as well as your case number or VIN? I can assist you from there. Thank you.",0,2021-06-21 12:39:02
105,@X713 Thanks for you support and your order! We would love to be updated on how you and your Maverick are doing once you get it.,2,2021-06-20 19:14:27
106,@1cardetailer 🤣🤣🤣,2,2021-06-20 16:41:30
107,@Drax_tastic We've got another one for you. What's the best pickup line?... The F-Series. 😎😎😎,11,2021-06-20 16:40:16
108,"@pjmjr60 Yes! How about... oh, wait. We had a good Ford joke to tell but it ESCAPE’d us. 😎😎😎",2,2021-06-20 14:41:26
109,@boomer_later One. Right. After. The. Other. 😂😂😂,7,2021-06-20 14:38:34
110,"@AlexLang154 Now this is a good one, Alex! 😆😆😆",6,2021-06-20 14:37:12
111,@carrelatedstuff The dad is strong in this one! 💪💪💪,5,2021-06-20 14:34:28
112,"It wouldn’t be #FathersDay without a dad joke or two. What’s the best car ""dad joke"" you’ve got?​ 

We’ll start – What do you call the new #FordMaverick?..... A-FORD-able.",273,2021-06-20 14:00:12
113,@ThomasDeVuono We think your pony is beautiful.,2,2021-06-19 19:10:05
114,"@StumpwaterMedia That's really cool, we love to hear that.",1,2021-06-19 16:46:27
115,@KeithPlagens We couldn't do this without you and the rest of the Ford family.,1,2021-06-19 16:36:25
116,@Kyhl4u Sounds like a really successful day to us!,1,2021-06-19 16:22:23
117,"@JoshBurkhead @ebergg @jimfarley98 Good morning Josh, can you send us a direct message. I would like to provide you with more information.",0,2021-06-19 14:33:10
118,"This #Juneteenth, we’re proud to celebrate that this day was the beginning of the journey to equality and a world where every person is free to pursue their dreams. When we remember, recognize and respect, we all move forward. https://t.co/rYv7dVpD8P",182,2021-06-19 14:00:14
119,@NY2HI Are you making plans already?,2,2021-06-19 13:45:03
120,@Jack_Campbell60 We're so happy to have you on board!,0,2021-06-19 13:15:42
121,"@nyrhtaK_Kathryn Good afternoon, Kat. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",1,2021-06-18 20:12:10
122,"@ShaunShanese Good afternoon. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-18 16:34:54
123,"@Jameshu16300576 Hi James – please send us this information in a direct message for further assistance. I would also recommend deleting this tweet, as it contains personal information. Thank you!",0,2021-06-18 16:16:59
124,@Savvvvnichole Good morning! Please send us a DM with more information regarding this situation. I would like to look into a few things on my end for you.,0,2021-06-18 15:18:31
125,"@CoachDeBose Good morning, Jeremy! Would you please send us a DM with more information about what's going on with your truck? I would like to look into a few things on my end for you.",0,2021-06-18 14:46:09
126,@ChrisPoole95 Good morning. Can you send us a direct message with your VIN? I would like to look further in to your concern.,0,2021-06-18 14:00:40
127,"@GregWoo25554106 Good morning, Greg. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-18 14:00:16
128,"@Kris86135257 Hi there, Kris. Could you send us a DM with your VIN? I’d like to look into things on my end for you.",0,2021-06-17 22:24:08
129,Get a close-up 👀 at a few of the things that come standard on the all-new #FordMaverick. https://t.co/MzjJiDdPJ2,436,2021-06-17 19:46:40
130,@ILOONA14 Home sweet home! 🏡,5,2021-06-17 19:04:34
131,"@CarlosM48433789 Hello, Carlos. Could you send us a DM with more information regarding the rust on your Ford F-150, as well as your VIN? I can assist you from there. Thank you!",0,2021-06-17 17:43:35
132,"@kmjf89 Good afternoon, Kayla. If you wouldn’t mind sending me over your VIN and mileage in a DM, I‘d be happy to look into this situation for you.",0,2021-06-17 17:08:19
133,"As part of our plan to invest more than $30 billion by 2025 to lead the electrification revolution, we’ve acquired @electriphi to develop the most advanced charging and energy management experiences for our commercial customers. https://t.co/63gsIUC8Ki #FordPro https://t.co/7kCgs5ARV7",179,2021-06-17 15:00:13
134,"@brixnxfxith Hello, Bri. Could you send us a DM with more information about your transmission issues on your 2018 Ford Fiesta, as well as your VIN and current mileage? I can assist you from there. Thank you.",0,2021-06-17 13:23:14
135,"@geekbillionaire Hi there, Danyelle. I’d like to assist you with this concern. Could you send us a DM with your VIN and mileage so I can look into this further?",0,2021-06-16 20:23:45
