,tweets,likes,time
71,Proud to see our very own Kelly Galanis listed among @BusinessInsider's top fintech bankers.  Read more about the trends in the industry: https://t.co/N9bgHdaZrn,5,2021-06-10 20:30:00
72,"We’re proud to partner with @joinstationf through the efforts of our #LaunchWithGS program—to support their mission to accelerate success for exemplary female founders through dedicated support, workshops and mentoring. https://t.co/gxyhwvSKzm",13,2021-06-10 19:15:51
73,"RT @Forbes: Goldman Sachs CEO David Solomon encourages small businesses to ""stay the course"": https://t.co/z2oORYFftX https://t.co/NV28nXX4…",0,2021-06-10 18:49:20
74,"“There isn't this reservoir of identity, common identity as Americans.” - Pulitzer-prize-winning historian Alan Taylor on a recent episode of #TalksAtGS: https://t.co/o0NuTy10gC https://t.co/E0tD3e5FWT",9,2021-06-10 18:00:17
75,"Watch Damien Courvalin, $GS head of energy research, discuss his outlook for oil prices and how it may affect consumer demand on @CNBC. 
https://t.co/5EbaEE7Hhf",9,2021-06-10 17:00:00
76,"#ICYMI: What does commercial REIT activity reveal about the outlook for office, retail and industrial real estate? Caitlin Burrows of $GS Research explains: https://t.co/tFRZJGkBC9 https://t.co/4oxso7BqjB",10,2021-06-10 16:00:20
77,"Watch Rod Hall, $GS Apple analyst, discuss his outlook for Apple, reaction to the company’s sales, and #WWDC2021 on @CNBC:
https://t.co/MJBw5My2Rd",4,2021-06-10 14:41:25
78,"Today’s the day for The Future of Tech IPOs on @Clubhouse, kicking off at 1PM ET. Sign up and join $GS experts from Investment Banking &amp; Global Markets for a Tech IPO breakdown: unicorns, direct listings, lock ups, SPACs and what’s next: https://t.co/OHNVYdYkQS https://t.co/ZcQ19iLdos",35,2021-06-10 14:00:06
79,"Economist and author of ""How Boards Work,"" @dambisamoyo, discusses why board diversity is essential to improving a company’s overall performance in a #TalksAtGS with $GS' president and COO John Waldron: https://t.co/HY5y0Mi1C5 https://t.co/ImeFub3V0y",23,2021-06-10 13:00:29
80,"As corporate America contemplates the return to office, what are the implications for commercial real estate investors? Caitlin Burrows of $GS Research explains in this episode of The Daily Check-In: https://t.co/7JYMiVCXCU https://t.co/UkPBIpICax",20,2021-06-09 22:00:20
81,"“The pace of innovation has never been greater, yet I really believe it will never be this slow again.” – $GS' Kim Posnett on the evolving tech and media landscape on @BloombergTV: https://t.co/wHqousSOKl",13,2021-06-09 20:58:12
82,"$GS' Matt McClure discusses how themes like infection prevention, outdoor living, and leisure travel are fueling industrial IPOs on this episode of Exchanges at Goldman Sachs: https://t.co/XsaBAqHAza https://t.co/SeR65gFSd9",4,2021-06-09 20:00:09
83,"Coming to @Clubhouse tomorrow, The Future of Tech IPOs. The room kicks off at 1PM ET. Sign up and join GS experts from Investment Banking &amp; Global Markets for a Tech IPO breakdown: unicorns, direct listings, lock ups, SPACs and what’s next: https://t.co/Qo6g7afqm5 https://t.co/d1Le63MoR5",23,2021-06-09 17:56:12
