,tweets,likes,time
62,"@ajil_almeida Hi there. Thank you for your message. If your account has been disabled, you'll need to submit an appeal using the email that was connected to your Facebook account. For more information please go to our Help Center page: https://t.co/AvrMnu9un2. -NDN",0,2021-05-20 13:22:34
63,"@shebhonest Hi Shebhonest. If you've turned on two-factor authentication, there are several ways you can get your security code or approve your login attempt. You can learn more in our Help Center here: https://t.co/TEZngLlje3. Hope this helps. -NDN",0,2021-05-18 16:02:11
64,"Germán S. started @Oaxacanita, a chocolate business in one of the poorest regions of Mexico, as a way to employ local people and develop the community. Now the community has over 2,000 cocoa trees that help provide income while keeping their traditions alive. https://t.co/Y6TR1CHzPg",135,2021-05-14 20:00:01
65,"Sometimes, a check-in can start a positive chain reaction that changes everything. This Mental Health Awareness Month, we highlight singer Kayla Steen and the powerful track “Dark Water” that was born of a check-in from a friend. https://t.co/PpoUcdto0s",108,2021-05-14 17:00:01
66,"@marisaberumen Hi there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",5,2021-05-12 20:44:08
67,"@VinodSh87922816 Hi there. If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",1,2021-05-12 20:43:18
68,"@RohanGorwada Hi there. If you believe your account has been hacked, please visit this Help Center article: https://t.co/MLhGANiXsm. -RA",0,2021-05-12 19:48:52
69,"@StevenW71271625 Thanks for keeping us updated, Steven. We're happy you're in the process of recovering your account. -NDN",0,2021-05-12 12:21:07
70,"@youkayofficial Hi, there. Please visit the Facebook Business Page for assistance with your disabled account. You can reach them here: https://t.co/s3UdvvTPYh. -RA",1,2021-05-11 23:34:03
71,"Thank you to everyone stepping up to support those affected by the COVID-19 crisis in India. 

You’re making donations, raising awareness and finding other ways to help when people need it most 🧡 https://t.co/qA9F6dtz7B",151,2021-05-11 22:49:37
72,"@StevenW71271625 Hi @StevenW71271625. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",2,2021-05-11 12:13:46
73,@socialmediafac Thanks for the support! ❤️ -NDN,0,2021-05-11 12:13:23
74,"@OhhaiHeather Hi @OhhaiHeather. Thank you for the feedback! If there is something we can do to improve your experience, please let us know at: https://t.co/gRpkfcJ8dA. -NDN",0,2021-05-11 12:12:59
75,"@MoreOm16 Hi there. If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",1,2021-05-10 17:53:04
76,"@DeadlixstCxtch Hi there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",1,2021-05-10 17:51:44
77,A year of resilience in the face of loss—watch Shoshana's story for Mental Health Awareness Month. https://t.co/emiikdfuQ7,142,2021-05-08 18:02:56
78,"Age is but a number for Joan M. At 75, she’s flexing over 1 million @instagram followers and inspiring others with her own fitness journey and message that it’s never too late to get in shape. As Joan puts it best, “You can’t turn back the clock but you can wind it up again!” https://t.co/7jefcZ98qB",187,2021-05-07 23:00:00
79,"For Mental Health Awareness Month we celebrate the power of checking in on loved ones, in a year that’s asked so much of us. https://t.co/IlPnnYQoKA",105,2021-05-07 21:34:06
80,"@Robertosaro5 Hi there. We understand your concern. For additional support with a disabled account, please visit our Help Center: https://t.co/phDMxg0uAE. -RA",3,2021-05-04 22:58:48
81,"The 2021 Facebook Community Accelerator program is here  ✨
 
If selected, you'll get up to $50K in funding, training and new tools to help you make an even bigger impact in your community.  
 
Apply by May 31  👉 https://t.co/282iOVzZzv https://t.co/7J8gih7Sbz",124,2021-05-04 22:57:01
82,"@yunorahul Hi there, if you are having issues recovering your password through your phone number, please find alternative options here: https://t.co/oNUCsNFlpJ -RA",0,2021-05-04 22:11:57
83,@NokieVillanueva Hi there. If you are having trouble recovering your Facebook account please visit this help center article: https://t.co/4mftKZFK8W -RA,1,2021-05-04 22:04:26
84,"@alimansoor047 Hi there, please visit out Help Center request a review of your disabled account form: https://t.co/AvrMnu9un2 - RA",1,2021-05-04 22:02:56
85,"Show your support by:

❤️ Using celebratory stickers on @facebookapp, @instagram, @messenger and @WhatsApp

🛍 Shopping API-owned businesses on @instagram: https://t.co/43Vh9imnxa

✨ Giving if you can. In the US, you’ll see a #StopAsianHate notification where you can donate https://t.co/P9LLcE8You",63,2021-05-03 22:08:54
86,"Happy #APAHM
 
This month and beyond, we’re highlighting API voices, celebrating their impact and sharing how we’re giving support – including a $5M donation to orgs focused on racial justice and equity for the API community and other marginalized groups.

https://t.co/kfcdinGRw3",99,2021-05-03 22:08:53
87,"Our thoughts are with everyone in India ❤️

To help, we’re giving $10 million to emergency response efforts and offering new ways for people to find COVID vaccine appointments.

Find out more: https://t.co/PJmfXhOHiV https://t.co/iWxdRT0nBP",188,2021-04-30 19:12:52
88,"@AmanShr51169962 Hi, there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",3,2021-04-29 20:32:54
89,"@SunnyTaloker Hi, there. Please fill out this form to request a review of your disabled account: https://t.co/AvrMnu9un2 -RA",0,2021-04-29 20:32:04
90,"@t1nant Hi, there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",0,2021-04-29 20:26:01
91,"RT @fbnewsroom: As more people get vaccinated, there’s still a long way to go to make COVID-19 vaccines accessible to everyone. To help, Fa…",0,2021-04-28 19:22:42
92,@ivishaljaihind Hi there. Please fill out this form to request a review of your disabled account: https://t.co/AvrMnu9un2 -RA,0,2021-04-26 21:45:32
93,"@geminiana16 Hi there. If you see purchases that you don't recognize and/or believe that someone has hacked your ad account, please let us know: https://t.co/WBF7oFqTqW -RA",0,2021-04-26 21:42:55
94,"@CraftBeer81 Hi there. If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",0,2021-04-26 21:40:53
95,"Budi started the Pendaki Indonesia Facebook Group as a way to share his love for nature with friends. Now, during their holy month of Ramadan, the Group is using lessons learned on the trail to help make a positive contribution to nature and their community. https://t.co/QPFQ7qZQmk",109,2021-04-26 17:29:21
96,"@YogeshN71738015 If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",2,2021-04-23 21:12:23
97,"@miss_HCassidy Thanks, Heather, we welcome your suggestion. You can also give us your feedback by following these steps in order to help us improve our features:  https://t.co/gRpkfcJ8dA. -RA",2,2021-04-23 21:04:16
98,"Together, we can help each other get vaccinated and put COVID-19 behind us. 

Learn more👇
https://t.co/wQ86ROpgok",56,2021-04-23 17:09:51
99,"Katherine Quirk and Russell Schwartz started a group to help people with limited internet access or computer skills schedule vaccine appointments. 

In three months, the group has grown to over 40,000 members and they’ve helped schedule thousands of appointments. https://t.co/YejiNtTke4",38,2021-04-23 17:09:50
100,These teachers have become experts at using their local vaccine appointment website and they’re helping people in underserved communities schedule their shots 🙌 https://t.co/G8LvoRpzNm,18,2021-04-23 17:09:49
101,"Getting vaccinated against COVID-19 starts with finding an appointment 📅  

Shout out to the vaccine angels helping people find and book appointments. https://t.co/jScnTowedj",97,2021-04-23 17:09:47
102,"@shazzer17 If you're having trouble logging in, please visit our Help Center for troubleshooting tips: https://t.co/1SITPzO0N3. -RA",0,2021-04-22 22:13:47
103,"On #EarthDay, sharing that Facebook's operations are now 100% supported by renewable energy and we've reached net zero emissions. 
 
It’s on all of us to limit climate change and this is our latest step to reduce our footprint. https://t.co/nkJT4t2JEQ",132,2021-04-22 18:15:07
104,"Kimeona, a native of Oahu, lives and breathes ""Aloha ʻĀina"" (love for the land) and has made ""Mālama 'Āina"" (caring for the land) his life's work. So when he learned about @808Cleanups, a nonprofit committed to restoring Hawaii’s natural beauty, he knew he'd found his calling. https://t.co/bIH1jwZa9F",96,2021-04-22 14:00:01
105,"Visit national parks virtually, shop sustainable businesses, sign up to volunteer and so much more. Get all the details 👇https://t.co/TiJHGbsfrE",66,2021-04-22 13:02:33
106,Raise money for environmental causes on Facebook and Instagram by starting or donating to a fundraiser. https://t.co/xPawNVhKdX,63,2021-04-22 13:01:39
107,"Check out more ways you can take action on climate change and make a difference. 
 
Visit our Climate Science Information Center to find the latest info and resources from leading orgs – including a special event today with @EarthDay.
 
https://t.co/2wLofeecLh https://t.co/H1oUbcgUS3",51,2021-04-22 13:00:53
108,"Celebrate #EarthDay with @BillNye, @justinbieber and more of your favorites who share how we can all help save the planet. 

Streaming now only on @FacebookWatch  https://t.co/f1IwHLpJGR",7889,2021-04-22 13:00:16
109,"@J_Reisinger Hi Justin. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center here: https://t.co/MLhGANiXsm. -NDN",0,2021-04-22 12:41:35
110,"@_dankelly_ Hi Dan. As for now, you can only use the Facebook website and Messenger app in dark mode. Please share feedback about your experience with us here: https://t.co/gRpkfcrxm2. -IK",0,2021-04-21 17:07:02
111,"@jovel_merino Hi @jovel_merino. If your account has been disabled, you can appeal our decision here: https://t.co/AvrMnu9un2. Hope this helps. -IK",2,2021-04-20 17:29:05
112,"@poskei Hi @poskei. If you're having trouble logging in to your Facebook account, here are some things you can try: https://t.co/ZeIulKzILb. -IK",0,2021-04-20 17:28:26
113,"@OluseyiAdenusi We appreciate your enthusiasm, @OluseyiAdenusi! -IK",0,2021-04-20 17:26:42
114,"Wayne loves to admire the landscape around his desert community, but he grew concerned about the amount of trash he found dumped across the land. So he started the Golden Valley Cactus Cleaners Facebook Group as a way to unite his neighbors and help keep their community clean. https://t.co/qmzmvkNzQZ",89,2021-04-20 14:00:01
115,"@September_Joy To learn more about changing your name on Facebook, please visit our Help Center: https://t.co/CcScd1x0UA. -RA",0,2021-04-19 22:49:31
116,"@tstewarthr14 If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",1,2021-04-19 22:48:51
117,"@Puran2002 If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",1,2021-04-19 22:46:51
118,"@SagarDh30851531 If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",0,2021-04-19 22:45:09
119,"Excited to give you more ways to express yourself and connect with people using new audio features.

Consider it like having a sound studio in your pocket by being able to create audio clips, listen to podcasts and use Live Audio Rooms.

https://t.co/cmV2Ybjgx5 https://t.co/DVwVPwmXx1",335,2021-04-19 18:26:28
120,"@cyndierella100 Hi @cyndierella100. If the email address associated with the Facebook account has changed, your daughter can reverse it by following these steps: https://t.co/MLhGANiXsm. In case the problem persists, please let us know here: https://t.co/0JSs3GKhjW. -IK",2,2021-04-19 15:49:50
121,"@MShuganah Hi @MShuganah. If you're having trouble logging in to your Facebook account, here are some things you can try: https://t.co/ZeIulKzILb. Hope this helps. -IK",0,2021-04-19 15:49:30
122,"@Afrojalipro Hi Afroj. If you're experiencing this issue again, please follow the instructions in the Help Center article: https://t.co/MLhGANiXsm. -NDN",2,2021-04-16 22:23:27
123,"@spenschwartz Hi @spenschwartz. If the email address associated with the Facebook account has been changed, it is possible to reverse it by following the steps described in the last paragraph of this Help Center article: https://t.co/MLhGANiXsm. -IK",0,2021-04-16 22:22:10
124,"@GaryInTx Hi Gary. Thanks for reaching out. If you do not have access to the phone number or email address linked to your account, you can find out how you can reset your password by following this link to our Help Center: https://t.co/oNUCsNFlpJ. We hope this helps. -NDN",0,2021-04-16 22:20:31
125,"@kamigarcia Hi Kami. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",1,2021-04-16 22:17:01
126,"@XeoRepublic Hi Alexander. Thanks for reaching out. If you do not have access to the phone number or email address linked to your account, you can find out how you can reset your password by following this link to our Help Center: https://t.co/oNUCsNFlpJ. We hope this helps. -NDN",0,2021-04-16 22:16:05
127,"@J_Reisinger Hi Justin. If you still see purchases that you don't recognize and/or believe that someone has hacked your ad account, please let us know here:https://t.co/WBF7oFqTqW. -NDN",0,2021-04-16 22:14:52
128,"@mekozar Hi @@mekozar. Please let us know more about the issue you're experiencing by following these steps, and we'll have a look: https://t.co/rAFjFP5M8Y. -IK",0,2021-04-16 22:13:42
129,"@DharmaR67311702 Hi Dharma. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",0,2021-04-16 22:13:04
130,"@ayyfergg01 To request a new password, click the Forgot Your Password link on the Facebook login page. If you are still having trouble, please visit our help center here: https://t.co/1SITPzO0N3. -RA",0,2021-04-15 22:05:26
131,"@Scotch_Offical If you think your account has been disabled, please visit our Help Center for more information: https://t.co/phDMxg0uAE. -RA",1,2021-04-15 22:02:43
132,"@rhianacosterx Hi Rhiana. If you're still experiencing this issue, the next time it happens, please use the “Report a Problem” link on your account to let us know more about what you're seeing. Learn how in our Help Center: https://t.co/rAFjFP5M8Y. -NDN",0,2021-04-14 17:36:49
133,"@adnarim Hi Miranda. Thank you for the feedback! If there is something we can do to improve your experience, please let us know at: https://t.co/gRpkfcJ8dA. -NDN",0,2021-04-14 17:24:04
134,"@oriannacg22 Hello Orianna. If you believe your ad account has been disabled by mistake, you can visit Account Quality to find out more information and request another review: https://t.co/3r4g9jlD28. -IK",0,2021-04-14 17:09:53
135,"@KinzieGroup Hello @KinzieGroup. If one of the admins was hacked, and you have issues accessing your Page, please contact us here: https://t.co/l8SOGIB4Nh. In case your Facebook Page was taken over by someone else, please follow these steps to secure it: https://t.co/bFPWq32rB3. -IK",2,2021-04-14 16:44:12
136,@K2020Cat Hi @K2020Cat. Your account could have been hacked or taken over. Please visit this page to secure it: https://t.co/MLhGANiXsm. Hope this helps. -IK,0,2021-04-14 16:43:34
137,"@spenschwartz Hi @spenschwartz. Your parents can secure their accounts here: https://t.co/Xn9mCxzAZJ. Alternatively, they can use our guided help: https://t.co/0tYhjLgqHR. Hope this helps. -IK",0,2021-04-14 16:40:38
138,"@_Hyrije_ Hi Hyrije. Please contact us via this form, and we will have a look at your case: https://t.co/gZwdkCeCUi. -IK",2,2021-04-14 16:40:00
139,"@ianconyers We love the connection you've made, Ian! Thank you for sharing this with us. 🥰 -NDN",0,2021-04-14 16:37:03
140,"@faganca If you believe your account was taken over by someone else, please secure it here: https://t.co/Xn9mCxzAZJ. -RA",0,2021-04-13 20:56:51
141,"@Biter45 Hi @Biter45. If your problem persists, please fill in this form, and we will have a look: https://t.co/0JSs3GKhjW. -IK",2,2021-04-13 20:28:08
142,"@Jenny_Halvorson Hi Jen. If you think your account was hacked or taken over by someone else, we can help you secure it. Learn more in our Help Center: https://t.co/MLhGANiXsm. -NDN",0,2021-04-13 20:26:07
143,@AngeliYuson Hi Angeli. Please report the feature that isn't working correctly to us by following these instructions: https://t.co/rAFjFP5M8Y. Hope this helps. -IK,0,2021-04-13 20:25:25
144,"@bethd1521993 Hello Beth. If your dad is having trouble logging in to his Facebook account, here are some tips he can try: https://t.co/ZeIulKzILb. -IK",0,2021-04-13 20:24:54
145,"@_Hyrije_ Hi Hyrije. If the email address associated with your Facebook account has changed, you will be able to reverse it. Please secure your account by following the steps described here: https://t.co/MLhGANiXsm. -IK",0,2021-04-13 20:23:26
146,"@arjunkm02 Hi Arjun. Please make sure that you're following these instructions while merging your Pages: https://t.co/enlvyGM4BF. If the problem persists, let us know by filling in this form: https://t.co/vxiVPW4Nk6. -IK",0,2021-04-13 20:21:53
147,@DARDANI47266061 Can you please share more details about what you're experiencing? -IK,0,2021-04-13 20:19:03
148,"@CatalinSabau3 Thank you for bringing this to our attention, Catalin. Please use this form to let us know more about the issue you're experiencing: https://t.co/vxiVPW4Nk6. -IK",0,2021-04-13 20:17:27
149,@Kromback1 Hi Mario. You can only add a third-party authentication app or other two-factor authentication method if you already have access to your Facebook account. Learn more in our Help Center here: https://t.co/JSYdNcyQxK. -NDN,0,2021-04-13 20:14:47
150,@AlexDailyy Hi Alex. To report something that is not working please visit our Help Center here: https://t.co/rAFjFP5M8Y. -NDN,0,2021-04-13 20:13:40
151,"Ramadan Mubarak 🌙
 
This #MonthofGood, check out all the ways you can show kindness and give back across our apps.
 
https://t.co/ULodxCmlWx",226,2021-04-13 17:17:18
152,"@MeenalK1 Hi Meenal. Do you have the reference numbers for your submitted queries, please? -NDN",0,2021-04-12 22:22:13
153,"@Afrojalipro Thanks for updating us, Afroj! We're so happy to hear that. Have a wonderful week ahead. -NDN",1,2021-04-12 22:18:04
154,"@CallandManning Hi Calland. If you do not have access to the phone number or email address linked to your account, you can find out how you can reset your password by following this link to our Help Center: https://t.co/oNUCsNFlpJ. We hope this helps. -NDN",0,2021-04-12 22:15:14
155,@BHARTINANDAN4 Hello! Please visit this Help Center article if you are having issues logging into your account. https://t.co/ZeIulKzILb -RA,0,2021-04-12 20:50:37
156,@weathermatt22 Hi Matt. Please visit our Help Center to report an issue with verifying your account: https://t.co/H45UnJP46p. -VN,0,2021-04-12 20:47:20
157,"Grateful to partner with @ravenswoodfhn to host a COVID-19 vaccination clinic at our Menlo Park headquarters. 

We're also partnering with nonprofits across CA to support other pop-up clinics. We hope to help up to 10K people get vaccinated, especially those hardest hit by COVID. https://t.co/15yuCVvLc7",142,2021-04-09 21:05:18
158,"@mequisite Please try taking these steps to solve the login issues: https://t.co/ZeIulKzILb. In case your problem continues, you can fill in this form, and we will have a look: https://t.co/ZeIulKzILb. -IK",0,2021-04-09 18:24:15
159,"@lydimoo Hi Lydia. Which device are you using to access Facebook, please? -NDN",0,2021-04-09 18:21:18
